"","X","nugget_id","nugget_page_loaded_ms","upworthy_loaded_ms","facebook_loaded_ms","youtube_loaded_ms","new_visitor","device_type","bounced","quick_exit_status","quick_exit_10","quick_exit_30","yt_video","load_all","max_load_time","log_max_load_time","max_load_time_capped","bounced_num","quick_exit_10_num","quick_exit_30_num"
"7113",7113,"550a0d356235630024880000",2730,2739,4014,7353,"New","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","Load",7353,8.90286367219622,7353,1,0,1
"7114",7114,"550a0d356235630024880000",17660,24949,27183,59379,"Returning","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",59379,10.9916959074888,35924,1,0,0
"7115",7115,"550a0d356235630024880000",1616,1620,4002,13524,"New","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","Load",13524,9.51222116382778,13524,1,0,1
"7116",7116,"550a0d356235630024880000",2426,2435,10088,11883,"Returning","Mobile","No","stayed_at_least_30","Stayed","Stayed","Yes","Load",11883,9.38286408629003,11883,0,0,0
"7117",7117,"550a0d356235630024880000",48719,49113,53735,64584,"Returning","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","Load",64584,11.0757219810749,35924,1,0,1
"7118",7118,"550a0d356235630024880000",2840,2859,4125,18227,"New","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","Load",18227,9.81065929022493,18227,1,0,1
"7119",7119,"550a0d356235630024880000",6930,7532,8669,28929,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",28929,10.2725998311785,28929,1,0,0
"7120",7120,"550a0d356235630024880000",9548,9565,18789,27816,"Returning","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",27816,10.2333666736877,27816,1,0,0
"7121",7121,"550a0d356235630024880000",8488,8503,11874,27726,"New","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","Load",27726,10.2301258800983,27726,1,0,1
"7122",7122,"550a0d356235630024880000",NA,NA,91621,NA,"New","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","No_Load",NA,NA,NA,1,0,1
"7123",7123,"550a0d356235630024880000",4186,4498,9580,13521,"Returning","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","Load",13521,9.51199931135876,13521,1,0,1
"7124",7124,"550a0d356235630024880000",7810,7820,8757,28160,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",28160,10.245657810272,28160,1,0,0
"7125",7125,"550a0d356235630024880000",11994,13266,17547,21935,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",21935,9.99583881360032,21935,1,0,0
"7126",7126,"550a0d356235630024880000",5205,5227,6666,19336,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",19336,9.86972392238332,19336,1,0,0
"7127",7127,"550a0d356235630024880000",1599,1603,3759,8270,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",8270,9.02038978801774,8270,1,0,0
"7128",7128,"550a0d356235630024880000",8751,8772,13132,20122,"New","Tablet","No","stayed_at_least_30","Stayed","Stayed","Yes","Load",20122,9.909569022852,20122,0,0,0
"7129",7129,"550a0d356235630024880000",2473,2485,15424,15504,"New","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","Load",15504,9.64885333413055,15504,1,0,1
"7130",7130,"550a0d356235630024880000",1553,1564,23228,33618,"Returning","Mobile","No","stayed_at_least_30","Stayed","Stayed","Yes","Load",33618,10.4228169167933,33618,0,0,0
"7131",7131,"550a0d356235630024880000",2551,2564,15362,18565,"Returning","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",18565,9.82903336661118,18565,1,0,0
"7132",7132,"550a0d356235630024880000",4965,5029,5634,73318,"Returning","Tablet","Yes","exited_lt_30","Stayed","Exited","Yes","Load",73318,11.2025614238947,35924,1,0,1
"7133",7133,"550a0d356235630024880000",4240,5911,12711,19581,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",19581,9.88231498730333,19581,1,0,0
"7134",7134,"550a0d356235630024880000",5011,5035,NA,NA,"New","Mobile","Yes","exited_lt_10","Exited","Exited","Yes","No_Load",NA,NA,NA,1,1,1
"7135",7135,"550a0d356235630024880000",13864,16174,21908,NA,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","No_Load",NA,NA,NA,1,0,0
"7136",7136,"550a0d356235630024880000",1442,1449,1868,8307,"New","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","Load",8307,9.02485381183907,8307,1,0,1
"7137",7137,"550a0d356235630024880000",3565,3855,9580,16304,"Returning","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",16304,9.69916575546251,16304,1,0,0
"7138",7138,"550a0d356235630024880000",5351,5359,13330,16903,"New","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","Load",16903,9.73524639995018,16903,1,0,1
"7139",7139,"550a0d356235630024880000",5713,5832,16251,22575,"Returning","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","Load",22575,10.0245983782852,22575,1,0,1
"7140",7140,"550a0d356235630024880000",1465,1469,2712,6086,"Returning","Mobile","No","exited_lt_10","Exited","Exited","Yes","Load",6086,8.71374633045692,6086,0,1,1
"7141",7141,"550a0d356235630024880000",3340,3354,8334,12980,"New","Mobile","No","exited_lt_30","Stayed","Exited","Yes","Load",12980,9.47116499025808,12980,0,0,1
"7142",7142,"550a0d356235630024880000",7345,7363,13665,19435,"New","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","Load",19435,9.87483084328632,19435,1,0,1
"7143",7143,"550a0d356235630024880000",3283,3311,7092,13054,"New","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","Load",13054,9.47684987919516,13054,1,0,1
"7144",7144,"550a0d356235630024880000",NA,NA,NA,NA,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","No_Load",NA,NA,NA,1,0,0
"7145",7145,"550a0d356235630024880000",3502,3517,9760,14396,"New","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","Load",14396,9.57470566919892,14396,1,0,1
"7146",7146,"550a0d356235630024880000",3332,3421,13196,19126,"Returning","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",19126,9.85880394490949,19126,1,0,0
"7147",7147,"550a0d356235630024880000",10345,10384,16671,24263,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",24263,10.096707835199,24263,1,0,0
"7148",7148,"550a0d356235630024880000",3368,3408,7415,15252,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",15252,9.63246592097745,15252,1,0,0
"7149",7149,"550a0d356235630024880000",9468,9505,16623,20944,"New","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","Load",20944,9.94960748814968,20944,1,0,1
"7150",7150,"550a0d356235630024880000",2046,2049,2535,3957,"Returning","Desktop","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",3957,8.28324144138542,3957,1,0,0
"7151",7151,"550a0d356235630024880000",3681,4332,6562,NA,"Returning","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","No_Load",NA,NA,NA,1,0,0
"7152",7152,"550a0d356235630024880000",2214,2231,5530,6796,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",6796,8.82408948279182,6796,1,0,0
"7153",7153,"5525c0b5646532002c380000",NA,NA,NA,NA,"New","Desktop","Yes","stayed_at_least_30","Stayed","Stayed","Yes","No_Load",NA,NA,NA,1,0,0
"7154",7154,"550a0d356235630024880000",3336,3352,15291,17343,"Returning","Tablet","Yes","exited_lt_30","Stayed","Exited","Yes","Load",17343,9.76094424575059,17343,1,0,1
"7155",7155,"550a0d356235630024880000",1559,1568,3343,13024,"New","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","Load",13024,9.47454908824232,13024,1,0,1
"7156",7156,"550a0d356235630024880000",1652,1659,7176,13745,"Returning","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",13745,9.52843040059935,13745,1,0,0
"7157",7157,"550a0d356235630024880000",5815,6606,14877,17818,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",17818,9.78796446128059,17818,1,0,0
"7158",7158,"550a0d356235630024880000",4459,4467,5425,18866,"Returning","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",18866,9.8451166392098,18866,1,0,0
"7159",7159,"550a0d356235630024880000",1245,1250,2431,6292,"New","Mobile","No","stayed_at_least_30","Stayed","Stayed","Yes","Load",6292,8.74703426417817,6292,0,0,0
