"","X","nugget_id","nugget_page_loaded_ms","upworthy_loaded_ms","facebook_loaded_ms","youtube_loaded_ms","new_visitor","device_type","bounced","quick_exit_status","quick_exit_10","quick_exit_30","yt_video","load_all","max_load_time","log_max_load_time","max_load_time_capped","bounced_num","quick_exit_10_num","quick_exit_30_num"
"1",1,"550a0d356235630024880000",6429,6450,16653,25064,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",25064,10.129187832632,25064,1,0,0
"2",2,"550a0d356235630024880000",33119,41460,42346,NA,"Returning","Tablet","Yes","exited_lt_30","Stayed","Exited","Yes","No_Load",NA,NA,NA,1,0,1
"3",3,"550a0d356235630024880000",9848,9870,12576,14004,"New","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","Load",14004,9.54709828207456,14004,1,0,1
"4",4,"550a0d356235630024880000",NA,NA,17617,30289,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","No_Load",NA,NA,NA,1,0,0
"5",5,"550a0d356235630024880000",2356,2375,8606,10624,"New","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","Load",10624,9.27087087171621,10624,1,0,1
"6",6,"550a0d356235630024880000",1831,1837,3679,4837,"Returning","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",4837,8.48404997282298,4837,1,0,0
"7",7,"550a0d356235630024880000",7612,7818,10448,NA,"Returning","Tablet","Yes","stayed_at_least_30","Stayed","Stayed","Yes","No_Load",NA,NA,NA,1,0,0
"8",8,"550a0d356235630024880000",2975,4265,11250,13167,"Returning","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",13167,9.48546897835634,13167,1,0,0
"9",9,"550a0d356235630024880000",2760,2768,5250,13161,"Returning","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",13161,9.48501318983432,13161,1,0,0
"10",10,"550a0d356235630024880000",11023,11041,19192,23466,"New","Mobile","No","stayed_at_least_30","Stayed","Stayed","Yes","Load",23466,10.0633078439836,23466,0,0,0
"11",11,"550a0d356235630024880000",3260,3283,4698,8431,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",8431,9.03967066792268,8431,1,0,0
"12",12,"550a0d356235630024880000",6912,6928,11880,16381,"New","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","Load",16381,9.70387740560463,16381,1,0,1
"13",13,"550a0d356235630024880000",3752,3790,4891,12807,"Returning","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",12807,9.45774717542607,12807,1,0,0
"14",14,"550a0d356235630024880000",2951,2956,3613,NA,"Returning","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","No_Load",NA,NA,NA,1,0,1
"15",15,"550a0d356235630024880000",8524,8543,16832,23540,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",23540,10.0664563808143,23540,1,0,0
"16",16,"550a0d356235630024880000",2824,2831,3513,14887,"New","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","Load",14887,9.60824362787706,14887,1,0,1
"17",17,"550a0d356235630024880000",NA,NA,NA,15365,"New","Desktop","Yes","stayed_at_least_30","Stayed","Stayed","Yes","No_Load",NA,NA,NA,1,0,0
"18",18,"550a0d356235630024880000",34429,36572,115997,NA,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","No_Load",NA,NA,NA,1,0,0
"19",19,"550a0d356235630024880000",4050,4060,8085,12811,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",12811,9.45805945585643,12811,1,0,0
"20",20,"550a0d356235630024880000",9074,9089,10695,30841,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",30841,10.3366002525731,30841,1,0,0
"21",21,"550a0d356235630024880000",2323,2335,5862,15182,"Returning","Mobile","No","stayed_at_least_30","Stayed","Stayed","Yes","Load",15182,9.62786579457671,15182,0,0,0
"22",22,"550a0d356235630024880000",3291,3353,6248,20926,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",20926,9.94874768394099,20926,1,0,0
"23",23,"550a0d356235630024880000",NA,NA,34509,NA,"New","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","No_Load",NA,NA,NA,1,0,1
"24",24,"550a0d356235630024880000",6996,7198,NA,NA,"New","Mobile","Yes","exited_lt_10","Exited","Exited","Yes","No_Load",NA,NA,NA,1,1,1
"25",25,"550a0d356235630024880000",1319,1326,1898,12846,"Returning","Mobile","No","stayed_at_least_30","Stayed","Stayed","Yes","Load",12846,9.46078775781774,12846,0,0,0
"26",26,"550a0d356235630024880000",5564,5603,8708,23326,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",23326,10.057323897251,23326,1,0,0
"27",27,"550a0d356235630024880000",28364,29049,48520,70819,"New","Desktop","Yes","exited_lt_30","Stayed","Exited","Yes","Load",70819,11.1678826052612,35924,1,0,1
"28",28,"550a0d356235630024880000",4900,5354,12628,NA,"New","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","No_Load",NA,NA,NA,1,0,1
"29",29,"550a0d356235630024880000",4107,4689,9947,14282,"Returning","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","Load",14282,9.56675528210905,14282,1,0,1
"30",30,"550a0d356235630024880000",12046,12065,18962,23799,"Returning","Mobile","Yes","exited_lt_10","Exited","Exited","Yes","Load",23799,10.0773988419701,23799,1,1,1
"31",31,"550a0d356235630024880000",6557,17907,21510,25860,"Returning","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",25860,10.1604526523258,25860,1,0,0
"32",32,"550a0d356235630024880000",3562,3581,10846,13000,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",13000,9.47270463644367,13000,1,0,0
"33",33,"550a0d356235630024880000",4263,4506,8491,12044,"New","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","Load",12044,9.39632188960162,12044,1,0,1
"34",34,"550a0d356235630024880000",1379,1384,2591,12997,"Returning","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","Load",12997,9.47247384058159,12997,1,0,1
"35",35,"550a0d356235630024880000",1985,1993,3275,6662,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",6662,8.80417501875363,6662,1,0,0
"36",36,"550a0d356235630024880000",2294,2506,3830,20474,"New","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","Load",20474,9.92691106747972,20474,1,0,1
"37",37,"550a0d356235630024880000",4262,4271,4770,13442,"New","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","Load",13442,9.50613941252991,13442,1,0,1
"38",38,"550a0d356235630024880000",4474,4493,7070,NA,"New","Mobile","Yes","exited_lt_10","Exited","Exited","Yes","No_Load",NA,NA,NA,1,1,1
"39",39,"550a0d356235630024880000",4252,4585,9854,15930,"Returning","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","Load",15930,9.67595940290409,15930,1,0,1
"40",40,"550a0d356235630024880000",3334,3344,4563,18114,"New","Mobile","No","stayed_at_least_30","Stayed","Stayed","Yes","Load",18114,9.80444039893489,18114,0,0,0
"41",41,"550a0d356235630024880000",2818,2831,6702,12255,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",12255,9.41368929596221,12255,1,0,0
"42",42,"550a0d356235630024880000",2500,2516,6219,16309,"New","Tablet","Yes","exited_lt_30","Stayed","Exited","Yes","Load",16309,9.69947238165692,16309,1,0,1
"43",43,"550a0d356235630024880000",29452,29467,34947,39415,"New","Tablet","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",39415,10.581901733494,35924,1,0,0
"44",44,"550a0d356235630024880000",3312,3324,12044,12555,"New","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","Load",12555,9.43787427159169,12555,1,0,1
"45",45,"550a0d356235630024880000",NA,NA,5524,NA,"New","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","No_Load",NA,NA,NA,1,0,1
"46",46,"550a0d356235630024880000",2346,2362,4152,NA,"New","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","No_Load",NA,NA,NA,1,0,1
"47",47,"550a0d356235630024880000",8926,8947,18243,25625,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",25625,10.1513237164407,25625,1,0,0
"48",48,"550a0d356235630024880000",8758,9479,24726,35230,"Returning","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",35230,10.4696532713353,35230,1,0,0
"49",49,"550a0d356235630024880000",8996,9167,16317,20544,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",20544,9.93032420648969,20544,1,0,0
"50",50,"550a0d356235630024880000",4445,4474,13716,21712,"New","Tablet","Yes","exited_lt_30","Stayed","Exited","Yes","Load",21712,9.98562038207465,21712,1,0,1
"51",51,"550a0d356235630024880000",5088,6798,15054,18626,"Returning","Mobile","No","stayed_at_least_30","Stayed","Stayed","Yes","Load",18626,9.8323137330816,18626,0,0,0
"52",52,"550a0d356235630024880000",5772,5780,13305,14420,"Returning","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","Load",14420,9.57637141083894,14420,1,0,1
"53",53,"550a0d356235630024880000",6098,7964,16893,24735,"New","Tablet","Yes","exited_lt_30","Stayed","Exited","Yes","Load",24735,10.1159745236618,24735,1,0,1
"54",54,"550a0d356235630024880000",1950,1959,3241,7691,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",7691,8.94780609305705,7691,1,0,0
"55",55,"550a0d356235630024880000",NA,NA,16538,25545,"New","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","No_Load",NA,NA,NA,1,0,1
"56",56,"550a0d356235630024880000",NA,NA,10131,NA,"New","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","No_Load",NA,NA,NA,1,0,1
"57",57,"550a0d356235630024880000",NA,NA,13407,18035,"New","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","No_Load",NA,NA,NA,1,0,1
"58",58,"550a0d356235630024880000",13547,13568,19762,NA,"Returning","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","No_Load",NA,NA,NA,1,0,1
"59",59,"550a0d356235630024880000",4492,4504,11202,14431,"New","Tablet","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",14431,9.57713394943608,14431,1,0,0
"60",60,"550a0d356235630024880000",14311,14324,NA,NA,"New","Mobile","Yes","exited_lt_10","Exited","Exited","Yes","No_Load",NA,NA,NA,1,1,1
"61",61,"550a0d356235630024880000",3078,3085,8193,11074,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",11074,9.31235529738291,11074,1,0,0
"62",62,"550a0d356235630024880000",4706,5045,10532,17264,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",17264,9.75637868749792,17264,1,0,0
"63",63,"550a0d356235630024880000",2556,2571,5390,15822,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",15822,9.66915665558134,15822,1,0,0
"64",64,"550a0d356235630024880000",9923,9948,14743,23231,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",23231,10.053242872621,23231,1,0,0
"65",65,"550a0d356235630024880000",NA,NA,2625,13061,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","No_Load",NA,NA,NA,1,0,0
"66",66,"550a0d356235630024880000",2273,2279,7214,15715,"Returning","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","Load",15715,9.66237094923167,15715,1,0,1
"67",67,"550a0d356235630024880000",2546,2552,14032,17172,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",17172,9.75103542934445,17172,1,0,0
"68",68,"550a0d356235630024880000",4513,4532,14291,19044,"Returning","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",19044,9.85450737031441,19044,1,0,0
"69",69,"550a0d356235630024880000",NA,NA,22674,27655,"New","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","No_Load",NA,NA,NA,1,0,1
"70",70,"550a0d356235630024880000",2473,2481,3096,7612,"Returning","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",7612,8.93748122841604,7612,1,0,0
"71",71,"550a0d356235630024880000",5565,6396,14911,26706,"Returning","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",26706,10.1926435382439,26706,1,0,0
"72",72,"550a0d356235630024880000",1586,1601,6548,8315,"New","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","Load",8315,9.02581639162703,8315,1,0,1
"73",73,"550a0d356235630024880000",NA,NA,14614,22288,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","No_Load",NA,NA,NA,1,0,0
"74",74,"550a0d356235630024880000",7829,12633,13775,27517,"New","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","Load",27517,10.2225592744772,27517,1,0,1
"75",75,"550a0d356235630024880000",2808,2821,6205,12700,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",12700,9.44935727244668,12700,1,0,0
"76",76,"550a0d356235630024880000",4653,4665,5818,19287,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",19287,9.8671865728098,19287,1,0,0
"77",77,"550a0d356235630024880000",2761,2771,11177,16097,"New","Mobile","No","exited_lt_30","Stayed","Exited","Yes","Load",16097,9.68638819820623,16097,0,0,1
"78",78,"550a0d356235630024880000",5272,6296,15615,20158,"Returning","Mobile","No","stayed_at_least_30","Stayed","Stayed","Yes","Load",20158,9.91135651091482,20158,0,0,0
"79",79,"550a0d356235630024880000",3386,3408,5949,NA,"Returning","Mobile","Yes","exited_lt_10","Exited","Exited","Yes","No_Load",NA,NA,NA,1,1,1
"80",80,"550a0d356235630024880000",7978,7999,15817,NA,"New","Mobile","Yes","exited_lt_10","Exited","Exited","Yes","No_Load",NA,NA,NA,1,1,1
"81",81,"550a0d356235630024880000",3441,3625,7946,14257,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",14257,9.56500329315396,14257,1,0,0
"82",82,"550a0d356235630024880000",28023,27995,58630,67125,"Returning","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",67125,11.1143118318112,35924,1,0,0
"83",83,"550a0d356235630024880000",2886,2897,3993,7613,"Returning","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","Load",7613,8.93761259130621,7613,1,0,1
"84",84,"550a0d356235630024880000",1729,1735,9791,11214,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",11214,9.32491827668362,11214,1,0,0
"85",85,"550a0d356235630024880000",8915,9435,11904,19184,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",19184,9.8618318772673,19184,1,0,0
"86",86,"550a0d356235630024880000",NA,1890,3697,11054,"New","Tablet","Yes","exited_lt_30","Stayed","Exited","Yes","No_Load",NA,NA,NA,1,0,1
"87",87,"550a0d356235630024880000",4235,4376,8703,19807,"Returning","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",19807,9.89379068955726,19807,1,0,0
"88",88,"550a0d356235630024880000",7997,8362,14663,26645,"New","Desktop","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",26645,10.1903567947309,26645,1,0,0
"89",89,"550a0d356235630024880000",8671,8705,NA,NA,"New","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","No_Load",NA,NA,NA,1,0,1
"90",90,"550a0d356235630024880000",5156,6975,22635,28102,"Returning","Tablet","Yes","exited_lt_10","Exited","Exited","Yes","Load",28102,10.2435960271663,28102,1,1,1
"91",91,"550a0d356235630024880000",6447,15501,22731,31602,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",31602,10.3609756887114,31602,1,0,0
"92",92,"550a0d356235630024880000",2573,3699,9427,10547,"Returning","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",10547,9.26359673827661,10547,1,0,0
"93",93,"550a0d356235630024880000",13354,14353,18248,NA,"New","Mobile","No","exited_lt_10","Exited","Exited","Yes","No_Load",NA,NA,NA,0,1,1
"94",94,"550a0d356235630024880000",6567,9682,15472,21380,"Returning","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",21380,9.97021118457904,21380,1,0,0
"95",95,"550a0d356235630024880000",10172,10194,14381,37665,"Returning","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",37665,10.5364865602598,35924,1,0,0
"96",96,"550a0d356235630024880000",9628,9660,12184,23694,"Returning","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",23694,10.0729771305147,23694,1,0,0
"97",97,"550a0d356235630024880000",7114,20853,20924,27349,"New","Mobile","No","stayed_at_least_30","Stayed","Stayed","Yes","Load",27349,10.2164352441104,27349,0,0,0
"98",98,"550a0d356235630024880000",3937,5312,6921,15648,"New","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","Load",15648,9.6580983922746,15648,1,0,1
"99",99,"550a0d356235630024880000",1610,1615,6233,8618,"New","Tablet","Yes","exited_lt_30","Stayed","Exited","Yes","Load",8618,9.06160831817578,8618,1,0,1
"100",100,"550a0d356235630024880000",7050,7073,17455,21982,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",21982,9.99797921562885,21982,1,0,0
"101",101,"550a0d356235630024880000",8655,8684,13731,19466,"Returning","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",19466,9.87642463298644,19466,1,0,0
"102",102,"550a0d356235630024880000",NA,NA,11355,NA,"New","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","No_Load",NA,NA,NA,1,0,1
"103",103,"550a0d356235630024880000",5055,5066,7290,9896,"Returning","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",9896,9.19988591407232,9896,1,0,0
"104",104,"550a0d356235630024880000",4345,4657,11411,21408,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",21408,9.97151996292795,21408,1,0,0
"105",105,"550a0d356235630024880000",7085,7102,13554,26009,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",26009,10.1661979109524,26009,1,0,0
"106",106,"550a0d356235630024880000",4839,7871,18736,20195,"New","Mobile","No","stayed_at_least_30","Stayed","Stayed","Yes","Load",20195,9.91319032799751,20195,0,0,0
"107",107,"550a0d356235630024880000",18474,18494,26631,27252,"Returning","Tablet","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",27252,10.2128821918936,27252,1,0,0
"108",108,"550a0d356235630024880000",6441,6553,28583,64205,"Returning","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","Load",64205,11.0698363682654,35924,1,0,1
"109",109,"550a0d356235630024880000",10597,10643,15136,23745,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",23745,10.0751272609832,23745,1,0,0
"110",110,"550a0d356235630024880000",5790,5807,15598,21512,"Returning","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",21512,9.9763661979487,21512,1,0,0
"111",111,"550a0d356235630024880000",1998,2455,4283,11654,"Returning","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",11654,9.36340474770302,11654,1,0,0
"112",112,"550a0d356235630024880000",5110,5624,12589,18479,"New","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","Load",18479,9.82439023117742,18479,1,0,1
"113",113,"550a0d356235630024880000",30660,34757,NA,NA,"New","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","No_Load",NA,NA,NA,1,0,1
"114",114,"550a0d356235630024880000",2715,3182,9834,15266,"Returning","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",15266,9.63338341235842,15266,1,0,0
"115",115,"550a0d356235630024880000",NA,NA,8826,12178,"New","Desktop","Yes","exited_lt_30","Stayed","Exited","Yes","No_Load",NA,NA,NA,1,0,1
"116",116,"550a0d356235630024880000",4529,4726,7729,20941,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",20941,9.94946423877615,20941,1,0,0
"117",117,"550a0d356235630024880000",NA,NA,14400,NA,"New","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","No_Load",NA,NA,NA,1,0,1
"118",118,"550a0d356235630024880000",2152,2169,3887,17684,"Returning","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","Load",17684,9.78041555494613,17684,1,0,1
"119",119,"550a0d356235630024880000",12473,12817,15932,26942,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",26942,10.2014416862585,26942,1,0,0
"120",120,"5525c0b5646532002c380000",7078,7080,9888,9951,"Returning","Desktop","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",9951,9.20542832761516,9951,1,0,0
"121",121,"5525c0b5646532002c380000",8694,8743,18409,25753,"Returning","Mobile","No","stayed_at_least_30","Stayed","Stayed","Yes","Load",25753,10.1563064041601,25753,0,0,0
"122",122,"5525c0b5646532002c380000",NA,NA,2799,5673,"New","Desktop","Yes","stayed_at_least_30","Stayed","Stayed","Yes","No_Load",NA,NA,NA,1,0,0
"123",123,"5525c0b5646532002c380000",2527,3097,4778,7450,"New","Mobile","No","stayed_at_least_30","Stayed","Stayed","Yes","Load",7450,8.9159693113736,7450,0,0,0
"124",124,"5525c0b5646532002c380000",1393,1395,1607,2732,"Returning","Desktop","No","stayed_at_least_30","Stayed","Stayed","Yes","Load",2732,7.91278922069068,2732,0,0,0
"125",125,"5525c0b5646532002c380000",5449,5686,6734,15386,"Returning","Mobile","No","stayed_at_least_30","Stayed","Stayed","Yes","Load",15386,9.64121328401888,15386,0,0,0
"126",126,"5525c0b5646532002c380000",3069,4186,4367,5783,"Returning","Mobile","No","stayed_at_least_30","Stayed","Stayed","Yes","Load",5783,8.66267785815822,5783,0,0,0
"127",127,"5525c0b5646532002c380000",NA,NA,11271,13336,"New","Desktop","No","stayed_at_least_30","Stayed","Stayed","Yes","No_Load",NA,NA,NA,0,0,0
"128",128,"5525c0b5646532002c380000",4872,4875,6001,7645,"Returning","Desktop","No","stayed_at_least_30","Stayed","Stayed","Yes","Load",7645,8.94180711836316,7645,0,0,0
"129",129,"5525c0b5646532002c380000",6106,6119,13077,18459,"Returning","Mobile","No","exited_lt_30","Stayed","Exited","Yes","Load",18459,9.8233073354086,18459,0,0,1
"130",130,"5525c0b5646532002c380000",16140,16192,28767,NA,"Returning","Mobile","No","stayed_at_least_30","Stayed","Stayed","Yes","No_Load",NA,NA,NA,0,0,0
"131",131,"5525c0b5646532002c380000",6031,6060,22276,NA,"Returning","Tablet","Yes","exited_lt_10","Exited","Exited","Yes","No_Load",NA,NA,NA,1,1,1
"132",132,"5525c0b5646532002c380000",2206,2212,3425,6888,"Returning","Desktop","Yes","exited_lt_10","Exited","Exited","Yes","Load",6888,8.83753604610757,6888,1,1,1
"133",133,"550a0d356235630024880000",6600,6615,9780,22968,"Returning","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","Load",22968,10.0418572218009,22968,1,0,1
"134",134,"5525c0b5646532002c380000",8722,8741,16550,21858,"New","Mobile","No","stayed_at_least_30","Stayed","Stayed","Yes","Load",21858,9.99232226623662,21858,0,0,0
"135",135,"5525c0b5646532002c380000",3215,3226,7282,12303,"New","Mobile","No","stayed_at_least_30","Stayed","Stayed","Yes","Load",12303,9.41759841406017,12303,0,0,0
"136",136,"550a0d356235630024880000",1722,1726,4671,7122,"New","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","Load",7122,8.87094386383772,7122,1,0,1
"137",137,"550a0d356235630024880000",12385,12395,12754,12963,"New","Mobile","No","stayed_at_least_30","Stayed","Stayed","Yes","Load",12963,9.46985442460004,12963,0,0,0
"138",138,"550a0d356235630024880000",2370,2376,10435,13510,"Returning","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","Load",13510,9.51118543095424,13510,1,0,1
"139",139,"5525c0b5646532002c380000",1922,1926,3007,5281,"Returning","Mobile","No","stayed_at_least_30","Stayed","Stayed","Yes","Load",5281,8.57187075270693,5281,0,0,0
"140",140,"550a0d356235630024880000",21482,21507,24503,28397,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",28397,10.2540387847668,28397,1,0,0
"141",141,"550a0d356235630024880000",1842,1855,5421,9299,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",9299,9.1376621464782,9299,1,0,0
"142",142,"550a0d356235630024880000",19791,20326,26827,31281,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",31281,10.3507661634577,31281,1,0,0
"143",143,"550a0d356235630024880000",13480,13503,16460,31139,"New","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","Load",31139,10.3462163318345,31139,1,0,1
"144",144,"550a0d356235630024880000",1467,1473,11300,13531,"Returning","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",13531,9.51273862826364,13531,1,0,0
"145",145,"550a0d356235630024880000",2963,2982,5992,18916,"Returning","Tablet","No","stayed_at_least_30","Stayed","Stayed","Yes","Load",18916,9.84776340376377,18916,0,0,0
"146",146,"550a0d356235630024880000",3346,3360,6827,14100,"Returning","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","Load",14100,9.55393007636626,14100,1,0,1
"147",147,"550a0d356235630024880000",7812,7819,9286,16863,"New","Mobile","No","stayed_at_least_30","Stayed","Stayed","Yes","Load",16863,9.73287715167018,16863,0,0,0
"148",148,"550a0d356235630024880000",7336,7351,13272,17095,"Returning","Mobile","No","stayed_at_least_30","Stayed","Stayed","Yes","Load",17095,9.7465413020734,17095,0,0,0
"149",149,"550a0d356235630024880000",9040,9066,19343,24651,"Returning","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",24651,10.1125727465993,24651,1,0,0
"150",150,"550a0d356235630024880000",6955,6962,8264,20187,"Returning","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",20187,9.91279411185643,20187,1,0,0
"151",151,"550a0d356235630024880000",4671,4686,14296,18420,"New","Mobile","No","stayed_at_least_30","Stayed","Stayed","Yes","Load",18420,9.8211923098093,18420,0,0,0
"152",152,"550a0d356235630024880000",4655,4661,6278,10578,"New","Mobile","No","stayed_at_least_30","Stayed","Stayed","Yes","Load",10578,9.26653165162593,10578,0,0,0
"153",153,"550a0d356235630024880000",2299,2306,2442,8661,"New","Tablet","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",8661,9.06658546833104,8661,1,0,0
"154",154,"550a0d356235630024880000",2560,2619,6213,41558,"Returning","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",41558,10.6348453208598,35924,1,0,0
"155",155,"550a0d356235630024880000",3414,3577,10462,15870,"Returning","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","Load",15870,9.67218581352046,15870,1,0,1
"156",156,"550a0d356235630024880000",1618,1625,2996,6277,"Returning","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",6277,8.74464743831753,6277,1,0,0
"157",157,"550a0d356235630024880000",7169,7185,11356,19121,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",19121,9.85854248649296,19121,1,0,0
"158",158,"550a0d356235630024880000",2447,2461,6866,11622,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",11622,9.36065513263505,11622,1,0,0
"159",159,"550a0d356235630024880000",NA,NA,4390,3849,"New","Desktop","Yes","stayed_at_least_30","Stayed","Stayed","Yes","No_Load",NA,NA,NA,1,0,0
